"time"	"distance"	"value"
42	34	0
42	35	0
42	36	0
42	37	0
42	38	0
42	39	0
42	40	0
42	42	0
42	43	0
42	44	0
42	45	0
42	46	0
42	47	0
42	48	0.286
42	49	0.105
42	50	0.143
43	0	0.019
43	1	0.011
43	2	0.094
43	3	0
43	4	0
43	5	0
43	6	0
43	7	0
43	8	0
43	9	0
43	10	0
43	11	0
43	12	0
43	13	0
43	14	0
43	15	0
43	16	0
43	17	0
43	18	0
43	19	0
43	20	0
43	21	0
43	22	0
43	23	0
43	24	0
43	25	0
43	26	0
43	27	0
43	28	0
43	29	0
43	30	0
43	31	0
43	32	0
43	33	0
43	34	0
43	35	0
43	36	0
43	37	0
43	38	0
43	39	0
43	40	0
43	41	0
43	42	0
43	43	0
43	44	0
43	45	0
43	46	0
43	47	0
43	48	0.538
43	49	0.271
43	50	0.405
44	0	0
44	1	0
44	2	0
44	3	0
44	4	0
44	5	0
44	6	0
44	7	0
44	8	0
44	9	0
44	10	0
44	11	0
44	12	0
44	13	0
44	14	0
44	15	0
44	16	0
44	17	0
44	18	0
44	19	0
44	20	0
44	21	0
44	22	0
44	23	0
44	24	0
44	25	0
44	26	0
44	27	0
44	28	0
44	29	0
44	30	0
44	31	0
44	32	0
44	33	0
44	34	0
44	35	0
44	36	0
44	37	0
44	38	0
44	39	0
44	40	0
44	42	0
44	43	0
44	44	0
44	45	0
44	46	0
44	47	0
44	48	0.375
44	49	0.194
44	50	0.231
45	0	0.068
45	1	0.043
45	2	0.054
45	3	0
45	4	0
45	5	0
45	6	0
45	7	0
45	8	0
45	9	0
45	10	0
45	11	0
45	12	0
45	13	0
45	14	0
45	15	0
45	16	0
45	17	0
45	18	0
45	19	0
45	20	0
45	21	0
45	22	0
45	23	0
45	24	0
45	25	0
45	26	0
45	27	0
45	28	0.019
45	29	0.077
45	30	0
45	31	0
45	32	0.044
45	33	0
45	34	0
45	35	0
45	36	0.096
45	37	0.25
45	38	0.08
45	39	0
45	40	0
45	41	0.5
45	42	0.045
45	43	0
45	44	0
45	45	0
45	46	0.034
45	47	0.12
45	48	0.412
45	49	0.215
45	50	0.447
46	0	0.084
46	1	0.043
46	2	0.395
46	3	0.056
46	4	0
46	5	0
46	6	0
46	7	0
46	8	0
46	9	0
46	10	0
46	11	0
46	12	0
46	13	0.071
46	14	0.071
46	15	0
46	16	0.077
46	17	0.1
46	18	0
46	19	0
46	20	0.056
46	21	0.143
46	22	0
46	23	0.333
46	24	0
46	25	0.062
46	26	0
46	27	0
46	28	0
46	29	0
46	30	0
46	31	0
46	32	0.051
46	33	0
46	34	0
46	35	0
46	36	0.127
46	37	0
46	38	0
46	39	0.5
46	40	0.051
46	41	0
46	42	0
46	43	0
46	44	0
46	45	0
46	46	0.095
46	47	0
46	48	0.647
46	49	0.441
46	50	0.651
47	0	0.01
47	1	0
47	2	0.125
47	3	0
47	4	0
47	5	0
47	6	0
47	7	0
47	8	0
47	9	0
47	10	0
47	11	0
47	12	0
47	13	0
47	14	0
47	15	0
47	16	0
47	17	0
47	18	0
47	19	0
47	20	0
47	21	0
47	22	0
47	23	0
47	24	0
47	25	0
47	26	0
47	27	0
47	28	0
47	29	0.067
47	30	0
47	31	0
47	32	0
47	33	0
47	34	0
47	35	0
47	36	0.022
47	37	0
47	38	0
47	39	0
47	40	0
47	42	0
47	43	0
47	44	0
47	45	0
47	46	0
47	47	0
47	48	0.182
47	49	0.159
47	50	0.306
48	0	0.029
48	1	0
48	2	0.034
48	3	0
48	4	0
48	5	0
48	6	0
48	7	0
48	8	0
48	9	0
48	10	0
48	11	0
48	12	0
48	13	0
48	14	0
48	15	0
48	16	0
48	17	0
48	18	0
48	19	0
48	20	0
48	21	0
48	22	0
48	23	0
48	24	0
48	25	0
48	26	0
48	27	0
48	28	0
48	29	0
48	30	0
48	31	0
48	32	0
48	33	0
48	34	0
48	35	0
48	36	0.018
48	37	0
48	38	0
48	39	0
48	40	0
48	41	0
48	42	0
48	43	0
48	44	0
48	45	0
48	46	0
48	47	0
48	48	0.444
48	49	0.449
48	50	0.483
49	0	0.083
49	1	0.2
49	2	0.227
49	3	0
49	4	0
49	5	0
49	6	0
49	7	0
49	8	0
49	9	0
49	10	0
49	11	0
49	12	0
49	13	0
49	14	0
49	15	0
49	16	0
49	17	0
49	18	0
49	19	0
49	20	0
49	21	0
49	22	0
49	23	0
49	24	0
49	25	0.038
49	26	0.25
49	27	0
49	28	0.5
49	29	0.067
49	30	0
49	31	0
49	32	0.091
49	33	0
49	34	0
49	35	0
49	36	0.067
49	37	0
49	38	0
49	39	0
49	40	0
49	41	0
49	42	0
49	43	0
49	44	0
49	45	0.5
49	46	0.118
49	47	0.2
49	48	1
49	49	0.886
49	50	0.723
50	0	0.216
50	1	0
50	2	0
50	3	0
50	4	0
50	5	0
50	6	0
50	7	0
50	8	0
50	9	0
50	10	0
50	11	0
50	12	0
50	13	0
50	14	0
50	15	0
50	16	0
50	17	0
50	18	0
50	19	0
50	20	0
50	21	0
50	22	0
50	23	0
50	24	0
50	25	0
50	27	0
50	28	0
50	29	0
50	30	0
50	31	0
50	32	0
50	33	0
50	34	0
50	35	0
50	36	0
50	37	0
50	38	0
50	40	0
50	41	0
50	42	0
50	43	0
50	44	0.25
50	45	0
50	46	0.056
50	47	0
50	48	0.778
50	49	0.352
50	50	0.362
51	0	0.085
51	1	0.104
51	2	0.182
51	3	0
51	4	0
51	5	0
51	6	0
51	7	0
51	8	0
51	9	0
51	10	0
51	11	0
51	12	0
51	13	0
51	14	0
51	15	0
51	16	0
51	17	0
51	18	0
51	19	0
51	20	0
51	21	0
51	22	0
51	23	0
51	24	0
51	25	0
51	26	0
51	27	0
51	28	0
51	29	0
51	30	0
51	31	0
51	32	0
51	33	0
51	34	0
51	35	0
51	36	0
51	37	0
51	38	0
51	39	0
51	40	0
51	41	0
51	42	0
51	43	0
51	44	0
51	45	0
51	46	0.033
51	47	0.067
51	48	0.286
51	49	0.287
51	50	0.419
52	0	0.2
52	1	0.167
52	2	0.125
52	3	0
52	4	0
52	5	0
52	7	0
52	8	0
52	9	0
52	12	0
52	13	0
52	14	0
52	16	0
52	17	0
52	18	0
52	19	0
52	20	0
52	21	0
52	22	0
52	23	0
52	24	0
52	25	0
52	26	0
52	27	0
52	28	0
52	29	0
52	30	0
52	32	0.1
52	33	0.2
52	34	0
52	36	0.278
52	37	0.5
52	38	0
52	39	1
52	40	0.364
52	42	0.333
52	44	0
52	45	0
52	46	0.167
52	47	0.5
52	48	0
52	49	0.727
52	50	0.66
53	0	0.048
53	1	0.156
53	2	0.167
53	3	0.056
53	4	0
53	5	0
53	6	0
53	7	0
53	9	0
53	10	0
53	11	0
53	12	0
53	13	0.167
53	14	0.111
53	15	0
53	16	0
53	17	0
53	18	0
53	19	0
53	20	0
53	21	0
53	22	0.042
53	23	0.25
53	24	0
53	25	0.061
53	26	0
53	27	0
53	28	0
53	29	0
53	30	0
53	31	0
53	32	0.053
53	33	0.2
53	34	0
53	35	0
53	36	0.119
53	37	0
53	38	0.111
53	39	0.5
53	40	0.095
53	42	0
53	43	0
53	44	0
53	45	0
53	46	0.1
53	47	0.167
53	48	0.833
53	49	0.736
53	50	0.41
54	0	0.116
54	1	0.054
54	2	0.208
54	3	0
54	4	0
54	5	0
54	6	0
54	7	0
54	8	0
54	9	0
54	10	0
54	11	0
54	12	0
54	13	0
54	14	0
54	15	0
54	16	0
54	17	0
54	18	0
54	19	0
54	20	0
54	21	0
54	22	0
54	23	0
54	24	0
54	25	0.033
54	27	0
54	28	0
54	29	0
54	30	0
54	31	0
54	32	0
54	33	0
54	34	0
54	35	0
54	36	0.069
54	38	0
54	39	0
54	40	0
54	42	0
54	44	0
54	45	0
54	46	0
54	47	0.1
54	48	1
54	49	0.57
54	50	0.551
55	0	0.188
55	1	0.208
55	2	0.297
55	3	0
55	4	0
55	5	0
55	6	0
55	7	0
55	8	0
55	9	0
55	10	0
55	11	0
55	12	0
55	13	0
55	14	0
55	15	0
55	16	0
55	17	0
55	18	0
55	19	0
55	20	0
55	21	0
55	22	0
55	23	0
55	24	0
55	25	0.075
55	26	0
55	27	0
55	28	0
55	29	0
55	30	0
55	31	0
55	32	0.095
55	33	0
55	34	0
55	35	0
55	36	0.217
55	37	0.2
55	38	0
55	39	0.25
55	40	0.062
55	42	0
55	43	0
55	44	0
55	45	0
55	46	0.062
55	47	0.091
55	48	0.4
55	49	0.488
55	50	0.569
56	0	0.27
56	1	0.125
56	2	0.087
56	3	0
56	4	0
56	5	0
56	6	0
56	7	0
56	8	0
56	9	0
56	10	0
56	11	0
56	12	0
56	13	0
56	14	0
56	16	0
56	17	0
56	18	0
56	19	0
56	20	0
56	21	0
56	22	0
56	24	0
56	25	0
56	26	0
56	27	0
56	28	0
56	29	0
56	30	0
56	31	0
56	32	0
56	33	0
56	34	0
56	35	0
56	36	0.152
56	37	0.143
56	38	0
56	40	0
56	42	0
56	43	0
56	44	0
56	45	0
56	46	0.062
56	47	0
56	48	0.8
56	49	0.529
56	50	0.432
57	0	0.098
57	1	0.25
57	2	0.36
57	3	0.105
57	4	0
57	5	0
57	6	0
57	7	0
57	8	0
57	9	0
57	10	0
57	11	0
57	12	0
57	13	0
57	14	0
57	15	0
57	16	0
57	17	0
57	18	0
57	19	0
57	20	0
57	21	0
57	22	0.034
57	23	0
57	24	0
57	25	0
57	26	0
57	27	0
57	28	0
57	29	0
57	30	0
57	31	0
57	32	0
57	33	0.1
57	34	0
57	35	0.25
57	36	0.25
57	37	0.143
57	38	0
57	39	0
57	40	0.095
57	41	0
57	42	0.1
57	43	0
57	44	0
57	45	0
57	46	0.176
57	47	0
57	48	1
57	49	0.756
57	50	0.798
58	0	0.302
58	1	0.155
58	2	0.225
58	3	0.069
58	4	0
58	5	0
58	6	0
58	7	0
58	8	0
58	9	0
58	10	0
58	11	0
58	12	0.053
58	13	0
58	14	0
58	15	0
58	16	0.2
58	17	0
58	18	0
58	19	0
58	20	0.167
58	21	0
58	22	0.12
58	23	0
58	24	0
58	25	0.03
58	26	0
58	27	0
58	28	0
58	29	0.083
58	30	0
58	31	0
58	32	0.077
58	33	0
58	34	0.143
58	35	0
58	36	0.179
58	37	0.2
58	38	0
58	39	0.25
58	40	0.115
58	41	0
58	42	0.091
58	43	0
58	44	0
58	45	0
58	46	0.194
58	47	0.222
58	48	0.5
58	49	0.764
58	50	0.699
59	25	0
59	31	0
59	32	0
59	34	0
59	36	0
59	38	0
59	40	0
59	42	0
59	44	0
59	46	0
59	47	0
59	48	1
59	49	0.375
59	50	0.333
60	0	0.277
60	1	0.4
60	2	0.312
60	3	0.091
60	4	0
60	5	0
60	7	0
60	8	0
60	9	0
60	11	0
60	12	0.111
60	14	0
60	15	0
60	16	1
60	17	0
60	18	0
60	19	0
60	20	0.333
60	21	0
60	22	0.111
60	23	0
60	24	0
60	25	0
60	26	1
60	27	0
60	28	0
60	29	0.111
60	31	0
60	32	0.125
60	33	0
60	34	0.25
60	35	0.333
60	36	0.357
60	37	0
60	38	0
60	39	0
60	40	0.231
60	42	0.143
60	43	0.25
60	44	0.5
60	45	0
60	46	0.286
60	47	0
60	48	0.75
60	49	0.629
60	50	0.452
61	0	0.25
61	1	0.08
61	2	0.3
61	3	0
61	4	0
61	5	0
61	6	0
61	7	0
61	8	0
61	9	0
61	10	0
61	11	0
61	12	0
61	13	0
61	14	0
61	15	0
61	16	0
61	17	0
61	18	0
61	19	0
61	20	0
61	21	0
61	22	0
61	23	0
61	24	0
61	25	0
61	26	0
61	27	0
61	28	0
61	29	0
61	30	0
61	31	0
61	32	0
61	33	0
61	34	0
61	35	0
61	36	0
61	37	0
61	38	0
61	39	0
61	40	0
61	41	0
61	42	0
61	44	0
61	45	0
61	46	0
61	47	0
61	48	0.714
61	49	0.804
61	50	0.858
62	0	0.241
62	1	0.055
62	2	0.211
62	3	0
62	4	0
62	5	0
62	6	0
62	7	0
62	8	0
62	9	0
62	10	0
62	11	0
62	12	0
62	13	0
62	14	0
62	15	0
62	16	0
62	17	0
62	18	0
62	19	0
62	20	0
62	21	0
62	22	0
62	23	0
62	24	0
62	25	0
62	26	0
62	27	0
62	29	0
62	30	0
62	31	0
62	32	0.042
62	33	0
62	34	0
62	35	0
62	36	0.049
62	38	0
62	39	0
62	40	0.056
62	42	0.091
62	43	0
62	44	0
62	45	0
62	46	0.056
62	47	0
62	48	0.833
62	49	0.78
62	50	0.765
63	0	0
63	1	0
63	2	0
63	3	0
63	4	0
63	5	0
63	6	0
63	7	0
63	8	0
63	9	0
63	10	0
63	11	0
63	12	0
63	13	0
63	14	0.027
63	15	0
63	16	0
63	17	0
63	18	0
63	19	0
63	20	0
63	21	0
63	22	0
63	23	0
63	24	0
63	25	0
63	26	0
63	27	0
63	28	0
63	29	0
63	30	0
63	31	0
63	32	0
63	33	0
63	34	0
63	35	0
63	36	0
63	37	0
63	38	0
63	39	0
63	40	0
63	41	0
63	42	0
63	43	0
63	44	0
63	45	0
63	46	0
63	47	0
63	48	0.6
63	49	0.346
63	50	0.241
64	0	0.233
64	1	0.108
64	2	0.059
64	3	0
64	4	0
64	5	0
64	6	0
64	7	0
64	8	0
64	9	0
64	10	0
64	11	0
64	12	0
64	13	0
64	14	0
64	15	0
64	16	0
64	17	0
64	18	0
64	19	0
64	20	0
64	21	0
64	22	0
64	23	0
64	24	0
64	25	0
64	27	0
64	28	0
64	29	0
64	30	0
64	31	0
64	32	0
64	33	0
64	34	0
64	35	0
64	36	0
64	37	0
64	38	0
64	39	0
64	40	0
64	42	0
64	43	0
64	44	0
64	45	0
64	46	0
64	47	0
64	48	0.75
64	49	0.531
64	50	0.554
65	0	0.1
65	1	0.275
65	2	0.227
65	3	0
65	4	0
65	5	0
65	6	0
65	7	0
65	8	0
65	9	0
65	10	0
65	11	0
65	12	0
65	13	0
65	14	0
65	15	0
65	16	0
65	17	0
65	18	0
65	19	0
65	20	0
65	21	0
65	22	0
65	23	0
65	24	0
65	25	0.019
65	26	0
65	27	0
65	28	0
65	29	0
65	30	0
65	31	0
65	32	0.031
65	33	0
65	34	0.077
65	35	0
65	36	0.101
65	37	0.333
65	38	0
65	39	0
65	40	0
65	41	0
65	42	0
65	43	0
65	44	0
65	45	0
65	46	0
65	47	0
65	48	0.7
65	49	0.322
65	50	0.761
66	0	0.225
66	1	0.202
66	2	0.227
66	3	0.067
66	4	0
66	5	0
66	6	0
66	7	0
66	8	0
66	9	0
66	10	0
66	11	0
66	12	0
66	13	0
66	14	0
66	15	0
66	16	0
66	17	0
66	18	0
66	19	0
66	20	0
66	21	0
66	22	0
66	23	0
66	24	0
66	25	0.04
66	26	0.2
66	27	0
66	28	0
66	29	0
66	30	0
66	31	0
66	32	0.03
66	33	0.182
66	34	0.083
66	35	0
66	36	0.205
66	37	0.167
66	38	0
66	39	0
66	40	0
66	41	0
66	42	0
66	43	0
66	44	0
66	45	0
66	46	0.038
66	47	0
66	48	0.875
66	49	0.803
66	50	0.591
67	0	0.118
67	1	0.188
67	2	0.35
67	3	0.273
67	4	0
67	5	0
67	6	0
67	7	0
67	8	0
67	9	0
67	10	0
67	11	0
67	12	0
67	13	0
67	14	0.097
67	15	0
67	16	0
67	17	0
67	18	0
67	19	0
67	20	0
67	21	0
67	22	0
67	23	0
67	24	0
67	25	0
67	26	0
67	27	0
67	28	0
67	29	0
67	30	0
67	31	0
67	32	0
67	33	0
67	34	0
67	35	0
67	36	0
67	37	0
67	38	0
67	39	0
67	40	0
67	42	0
67	43	0
67	44	0
67	45	0
67	46	0
67	47	0
67	48	0
67	49	0.684
67	50	0.697
68	0	0.22
68	1	0.139
68	2	0.155
68	3	0.059
68	4	0
68	5	0
68	6	0
68	7	0
68	8	0
68	9	0
68	10	0
68	11	0
68	12	0
68	13	0.059
68	14	0
68	15	0
68	16	0
68	17	0
68	18	0
68	19	0
68	20	0
68	21	0
68	22	0
68	23	0.083
68	24	0
68	25	0.038
68	26	0
68	27	0
68	28	0
68	29	0.045
68	30	0
68	31	0
68	32	0
68	33	0
68	34	0
68	35	0
68	36	0.068
68	37	0
68	38	0
68	39	0
68	40	0.032
68	41	0
68	42	0.045
68	43	0
68	44	0
68	45	0
68	46	0.03
68	47	0
68	48	0.769
68	49	0.712
68	50	0.717
69	0	0.132
69	1	0.105
69	2	0.355
69	3	0.042
69	4	0
69	5	0
69	6	0
69	7	0
69	8	0
69	9	0
69	10	0
69	11	0
69	12	0
69	13	0
69	14	0
69	15	0
69	16	0
69	17	0
69	18	0
69	19	0
69	20	0
69	21	0
69	22	0
69	23	0
69	24	0
69	25	0
69	27	0
69	28	0
69	29	0
69	30	0
69	31	0
69	32	0.056
69	33	0
69	34	0
69	35	0
69	36	0.043
69	37	0
69	38	0
69	39	0
69	40	0
69	41	0
69	42	0
69	43	0
69	44	0
69	45	0
69	46	0
69	47	0.4
69	48	0.6
69	49	0.572
69	50	0.807
70	0	0.306
70	1	0.195
70	2	0.245
70	3	0.038
70	4	0
70	5	0
70	6	0
70	7	0
70	8	0
70	9	0
70	10	0
70	11	0
70	12	0
70	13	0
70	14	0
70	15	0
70	16	0
70	17	0
70	18	0
70	19	0
70	20	0
70	21	0
70	22	0.034
70	23	0
70	24	0
70	25	0.053
70	27	0
70	29	0.059
70	30	0
70	31	0
70	32	0.037
70	33	0
70	34	0
70	35	0.167
70	36	0.068
70	37	0
70	38	0
70	39	0
70	40	0.037
70	41	0
70	42	0.071
70	43	0
70	44	0
70	45	0
70	46	0.053
70	47	0
70	48	0.625
70	49	0.734
70	50	0.839
71	0	0.386
71	1	0.397
71	2	0.405
71	3	0.065
71	4	0
71	5	0
71	6	0
71	7	0
71	8	0
71	9	0
71	10	0
71	11	0
71	12	0
71	13	0
71	14	0
71	15	0
71	16	0
71	17	0
71	18	0
71	19	0
71	20	0
71	21	0
71	22	0
71	23	0
71	24	0
71	25	0
71	26	0
71	27	0
71	28	0
71	29	0
71	30	0
71	31	0
71	32	0
71	33	0
71	34	0
71	35	0
71	36	0.119
71	37	0
71	38	0
71	40	0
71	41	0
71	42	0.083
71	43	0
71	44	0
71	45	0
71	46	0
71	47	0.133
71	48	0.667
71	49	0.841
71	50	0.896
72	0	0.293
72	1	0.465
72	2	0.544
72	3	0.129
72	4	0
72	5	0.077
72	6	0.167
72	7	0
72	8	0
72	9	0.077
72	10	0
72	11	0
72	12	0
72	13	0
72	14	0
72	15	0
72	16	0.125
72	17	0
72	18	0
72	19	0
72	20	0.111
72	21	0
72	22	0.042
72	23	0.056
72	24	0
72	25	0.089
72	26	0.333
72	27	0
72	28	0
72	29	0
72	30	0
72	31	0
72	32	0
72	33	0.091
72	34	0.077
72	35	0.083
72	36	0.067
72	37	0.167
72	38	0
72	39	0.25
72	40	0
72	41	0
72	42	0.111
72	43	0
72	44	0
72	45	0
72	46	0.077
72	47	0
72	48	0.833
72	49	0.848
72	50	0.914
73	0	0.596
73	1	0.639
73	2	0.607
73	3	0.147
73	4	0
73	5	0
73	6	0
73	7	0
73	8	0
73	9	0
73	10	0
73	11	0
73	12	0
73	13	0
73	14	0.222
73	15	0.167
73	16	0
73	17	0
73	18	0
73	19	0
73	20	0
73	21	0
73	22	0.071
73	23	0.286
73	24	0
73	25	0.062
73	26	0.2
73	27	0.071
73	28	0
73	29	0.056
73	30	0
73	31	0.083
73	32	0
73	33	0.125
73	34	0
73	35	0
73	36	0.214
73	37	0.5
73	38	0
73	39	0
73	40	0.075
73	42	0.1
73	43	0
73	44	0.154
73	45	0
73	46	0.139
73	47	0.158
73	48	0.778
73	49	0.908
73	50	0.907
74	0	0.455
74	1	0.226
74	2	0.16
74	3	0.1
74	4	0.25
74	5	0
74	6	0
74	7	0
74	8	0
74	9	0.2
74	10	0
74	11	0
74	12	0
74	13	0
74	14	0
74	15	0
74	16	0.333
74	17	0
74	18	0
74	19	0
74	20	0.333
74	21	0
74	22	0.062
74	23	0.25
74	24	0
74	25	0.133
74	26	0
74	27	0
74	28	0
74	29	0
74	30	0
74	31	0
74	32	0.091
74	33	0
74	34	0
74	35	0
74	36	0.053
74	37	0
74	38	0
74	39	0.333
74	40	0
74	41	0
74	42	0
74	43	0
74	44	0
74	45	0
74	46	0
74	47	0
74	48	1
74	49	0.71
74	50	0.769
75	0	0.5
75	1	0.56
75	2	0.611
75	3	0.143
75	4	0
75	5	0
75	6	0
75	7	0
75	8	0
75	9	0
75	10	0
75	12	0
75	13	0
75	14	0.333
75	15	0
75	16	0.5
75	17	0
75	18	0
75	19	0
75	20	0.5
75	21	0
75	22	0.231
75	23	0
75	24	0
75	25	0.231
75	26	0
75	27	0.2
75	28	0
75	29	0.333
75	30	0.333
75	31	0
75	32	0.2
75	34	0
75	35	0.5
75	36	0.348
75	37	1
75	38	0
75	39	0
75	40	0.111
75	41	0
75	42	0
75	43	0.5
75	44	0
75	45	0
75	46	0.25
75	47	0.333
75	48	1
75	49	1
75	50	0.966
76	0	0.407
76	1	0.375
76	2	0.464
76	3	0.037
76	4	0
76	5	0
76	6	0
76	7	0
76	8	0
76	9	0
76	10	0
76	11	0
76	12	0
76	13	0
76	14	0
76	15	0
76	16	0
76	17	0
76	18	0
76	19	0
76	20	0
76	21	0
76	22	0.081
76	23	0
76	24	0
76	25	0.081
76	26	0
76	27	0
76	28	0.125
76	29	0
76	30	0
76	31	0
76	32	0.067
76	33	0.167
76	34	0
76	35	0
76	36	0.211
76	37	0.167
76	38	0
76	39	0
76	40	0.08
76	41	0.25
76	42	0.167
76	43	0
76	44	0
76	45	0
76	46	0.167
76	47	0.111
76	48	0.8
76	49	0.989
76	50	0.881
77	0	0.619
77	1	0.636
77	2	0.542
77	3	0.098
77	4	0
77	5	0.118
77	6	0
77	7	0
77	8	0
77	9	0
77	10	0
77	11	0.167
77	12	0
77	13	0
77	14	0.083
77	15	0
77	16	0.154
77	17	0
77	18	0
77	19	0
77	20	0.176
77	21	0.067
77	22	0.098
77	23	0
77	24	0
77	25	0.167
77	26	0.333
77	27	0.143
77	28	0
77	29	0.048
77	30	0.143
77	31	0.125
77	32	0.15
77	33	0.083
77	34	0
77	35	0.125
77	36	0.372
77	37	0
77	38	0.091
77	39	0
77	40	0.179
77	41	0
77	42	0.211
77	43	0
77	44	0
77	45	0
77	46	0.233
77	47	0.105
77	48	0.917
77	49	0.904
77	50	0.881
78	0	0.3
78	1	0
78	2	0.083
78	3	0
78	4	0
78	5	0
78	6	0
78	7	0
78	8	0
78	9	0
78	10	0
78	11	0
78	12	0
78	13	0
78	14	0
78	15	0
78	16	0
78	17	0
78	18	0
78	19	0
78	20	0
78	21	0
78	22	0
78	23	0
78	24	0
78	25	0
78	26	0
78	27	0
78	28	0
78	29	0
78	30	0
78	31	0
78	32	0
78	34	0
78	35	0
78	36	0
78	37	0
78	38	0
78	39	0
78	40	0
78	41	0
78	42	0
78	43	0
78	44	0
78	45	0
78	46	0
78	47	0
78	48	1
78	49	1
78	50	0.766
79	0	0.037
79	1	0
79	2	0.318
79	3	0
79	4	0
79	5	0
79	6	0
79	7	0
79	8	0
79	9	0
79	10	0
79	11	0
79	12	0
79	13	0
79	14	0
79	15	0
79	16	0
79	17	0
79	18	0
79	19	0
79	20	0
79	21	0
79	22	0
79	23	0
79	24	0
79	25	0
79	27	0
79	28	0
79	29	0
79	30	0
79	31	0
79	32	0
79	33	0
79	34	0
79	35	0
79	36	0.091
79	37	0
79	38	0
79	39	0
79	40	0
79	41	0
79	42	0
79	43	0
79	44	0
79	45	0
79	46	0
79	48	0.833
79	49	0.828
79	50	0.897
80	0	0.531
